Block,Strain,ID,Treatment,Counter,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10
1,N2,1,daf,A,1,38,53,54,47,61,25,7,1,0
1,N2,2,daf,A,3,32,38,23,24,26,24,15,10,9
1,N2,3,ev,A,0,32,40,33,26,18,23,12,13,7
1,N2,4,ev,A,0,29,36,42,49,41,3,1,0,0
1,N2,5,ev,A,0,8,23,37,31,40,41,33,27,5
1,N2,6,ev,A,2,35,64,68,20,2,0,0,0,0
1,N2,7,daf,A,43,79,82,62,3,0,0,0,0,0
1,N2,8,daf,A,0,33,57,53,44,39,17,2,1,0
1,N2,9,daf,A,0,19,51,57,40,8,7,0,2,0
1,N2,10,ev,A,3,27,39,49,44,54,31,17,3,0
1,N2,11,daf,A,4,48,61,56,45,38,17,15,4,1
1,N2,12,daf,A,0,20,56,65,75,49,14,0,0,0
1,N2,13,daf,A,7,44,72,70,67,22,3,0,0,1
1,N2,14,ev,A,3,31,51,43,40,42,22,11,1,0
1,N2,15,ev,A,0,29,46,36,26,14,9,2,1,2
1,N2,16,ev,A,0,39,52,62,50,25,8,1,0,1
1,N2,17,daf,A,0,27,45,51,42,41,19,9,0,0
1,N2,18,ev,A,1,37,47,34,40,42,35,7,0,0
1,N2,19,daf,A,0,35,45,56,49,31,10,1,0,1
1,N2,20,daf,A,0,28,39,45,51,48,24,10,0,1
1,N2,21,ev,A,2,22,53,69,36,12,4,3,0,0
1,N2,22,daf,A,0,30,50,62,44,19,6,0,0,1
1,N2,23,ev,A,0,32,56,57,58,22,7,1,0,0
1,N2,24,ev,A,2,22,44,45,45,51,34,11,0,0
1,N2,25,ev,A,3,30,48,54,64,48,9,1,0,1
1,N2,26,ev,A,0,31,57,54,55,46,16,0,0,0
1,N2,27,daf,A,0,31,51,48,44,23,20,4,0,0
1,N2,28,daf,A,0,30,55,63,60,39,20,6,1,1
1,N2,29,daf,A,0,23,42,49,56,40,4,0,0,1
1,N2,30,ev,A,1,40,58,67,56,19,1,1,0,0
1,N2,31,ev,S,0,27,49,59,52,54,7,2,0,1
1,N2,32,daf,S,1,31,62,53,53,31,7,0,0,0
1,N2,33,ev,S,0,30,47,57,41,52,7,3,0,0
1,N2,34,ev,S,4,39,63,60,22,62,21,4,1,0
1,N2,35,ev,S,3,31,33,36,30,20,19,14,2,0
1,N2,36,ev,S,0,21,44,52,52,42,13,0,0,0
1,N2,37,daf,S,0,37,47,58,39,31,3,0,3,0
1,N2,38,daf,S,0,22,39,40,25,40,19,18,5,1
1,N2,39,daf,S,0,16,45,46,32,32,7,3,0,0
1,N2,40,ev,S,0,24,22,39,17,31,19,12,2,0
1,N2,41,daf,S,2,37,51,60,19,12,3,0,0,0
1,N2,42,ev,S,0,27,41,45,46,NA,NA,NA,NA,NA
1,N2,43,daf,S,1,32,43,60,44,38,4,2,0,0
1,N2,44,daf,S,0,45,59,76,36,26,3,3,0,0
1,N2,45,ev,S,0,22,25,48,42,42,20,5,0,1
1,N2,46,daf,S,0,28,47,57,49,50,12,1,0,2
1,N2,47,daf,S,0,28,51,59,50,20,4,0,0,0
1,N2,48,ev,S,0,31,43,49,33,37,17,0,0,0
1,N2,49,ev,S,0,19,42,33,21,36,27,6,0,0
1,N2,50,ev,S,0,23,25,46,44,35,14,6,0,3
1,N2,51,ev,S,1,26,36,41,38,41,15,5,0,0
1,N2,52,ev,S,0,32,63,57,45,16,2,15,5,5
1,N2,53,daf,S,0,26,51,59,41,43,5,0,2,0
1,N2,54,daf,S,0,23,48,48,42,31,11,0,0,0
1,N2,55,daf,S,0,16,37,45,33,11,9,0,0,1
1,N2,56,daf,S,0,27,50,59,45,33,3,6,1,0
1,N2,57,ev,S,0,33,52,64,42,15,0,0,1,0
1,N2,58,daf,S,0,15,61,58,27,21,8,3,2,0
1,N2,59,daf,S,0,29,33,48,59,19,7,1,0,0
1,N2,60,ev,S,0,25,25,28,37,18,3,0,0,0
