Block,ID,Treatment,Strain,Counter,infection,matracide,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,strain_treat
2,1,ev,SKN,fin,0,0,5,35,49,40,39,41,44,29,7,11,SKN ev
2,2,ev,SKN,fin,0,0,3,34,43,39,34,20,22,8,6,1,SKN ev
2,3,ev,SKN,fin,0,0,0,24,38,46,44,47,44,18,10,1,SKN ev
2,4,ev,SKN,fin,0,0,0,31,45,51,44,39,36,22,7,6,SKN ev
2,5,ev,SKN,fin,0,0,0,23,31,37,22,16,10,11,16,0,SKN ev
2,6,ev,SKN,fin,0,0,2,25,33,36,43,34,44,16,4,1,SKN ev
2,7,ev,SKN,fin,0,0,0,22,32,31,30,21,26,17,12,4,SKN ev
2,8,daf,SKN,fin,0,0,2,26,42,39,35,29,29,13,5,4,SKN daf
2,9,ev,SKN,fin,0,0,2,26,40,40,38,30,31,18,7,0,SKN ev
2,10,ev,SKN,fin,0,0,3,35,40,32,29,28,24,26,12,9,SKN ev
2,11,daf,SKN,fin,0,0,0,27,33,25,26,20,32,16,11,20,SKN daf
2,12,daf,SKN,fin,0,0,3,30,43,41,43,25,17,11,12,6,SKN daf
2,13,ev,SKN,fin,0,0,13,28,25,22,22,11,11,5,0,7,SKN ev
2,14,daf,SKN,fin,0,0,0,38,46,42,47,28,19,4,0,0,SKN daf
2,15,ev,SKN,fin,0,0,0,27,45,33,33,31,17,9,11,2,SKN ev
2,16,ev,SKN,fin,0,0,0,28,44,40,32,18,10,12,8,7,SKN ev
2,17,daf,SKN,fin,0,0,3,30,49,37,41,40,20,0,0,0,SKN daf
2,18,ev,SKN,fin,0,0,0,32,41,33,41,41,29,19,17,0,SKN ev
2,19,daf,SKN,fin,0,0,0,31,40,34,30,26,19,9,9,4,SKN daf
2,20,daf,SKN,fin,0,0,0,21,26,33,34,32,27,19,9,5,SKN daf
2,21,ev,SKN,fin,0,0,0,25,35,38,42,45,34,18,14,0,SKN ev
2,22,daf,SKN,fin,0,0,1,35,44,50,46,35,27,15,2,5,SKN daf
2,23,ev,SKN,fin,0,0,1,29,33,37,19,13,23,10,9,8,SKN ev
2,24,ev,SKN,fin,0,0,0,26,31,40,29,37,32,33,24,5,SKN ev
2,25,daf,SKN,fin,0,0,0,25,30,38,25,31,36,27,8,1,SKN daf
2,26,ev,SKN,fin,0,0,0,25,27,38,37,30,25,7,11,4,SKN ev
2,27,daf,SKN,fin,0,0,0,27,43,44,37,32,12,17,0,0,SKN daf
2,28,daf,SKN,fin,0,0,1,29,41,40,37,48,34,32,23,10,SKN daf
2,29,daf,SKN,fin,0,0,0,16,32,39,47,40,28,8,16,6,SKN daf
2,30,ev,SKN,fin,0,0,0,18,36,39,42,36,24,24,14,0,SKN ev
2,31,daf,SKN,fin,0,0,0,21,32,37,38,42,26,7,19,7,SKN daf
2,32,ev,SKN,fin,0,0,0,14,36,35,22,10,20,8,11,7,SKN ev
2,33,daf,SKN,fin,0,0,1,21,38,42,45,58,46,21,2,0,SKN daf
2,34,daf,SKN,fin,0,0,0,30,46,43,43,61,29,11,0,0,SKN daf
2,35,daf,SKN,fin,0,0,0,32,36,38,42,21,23,13,4,4,SKN daf
2,36,daf,SKN,fin,0,0,0,24,41,29,45,47,39,22,13,0,SKN daf
2,37,daf,SKN,fin,0,0,0,32,41,32,25,36,44,27,21,18,SKN daf
2,38,daf,SKN,fin,0,0,0,33,44,30,18,15,1,0,0,0,SKN daf
2,39,ev,SKN,fin,0,0,1,35,51,51,46,33,39,25,3,0,SKN ev
2,40,daf,SKN,fin,0,0,1,32,40,39,40,41,38,26,12,3,SKN daf
2,41,daf,SKN,fin,0,0,0,22,40,34,47,32,30,13,1,1,SKN daf
2,42,ev,SKN,fin,0,0,5,29,40,44,43,35,39,31,2,0,SKN ev
2,43,daf,SKN,fin,0,0,2,29,46,49,53,29,25,21,0,0,SKN daf
2,44,daf,SKN,fin,0,0,0,14,36,41,45,40,18,21,5,3,SKN daf
2,45,daf,SKN,fin,0,0,0,30,32,32,36,32,28,21,16,8,SKN daf
2,46,daf,SKN,fin,0,0,0,29,42,38,47,49,36,27,15,1,SKN daf
2,47,ev,SKN,fin,0,0,0,20,33,34,36,48,29,21,11,6,SKN ev
2,48,ev,SKN,fin,0,0,0,29,37,35,45,53,41,31,10,6,SKN ev
